Language	Language(local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Old Church Slavonic	словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ	cu	638	4,493	75,368	1	16,169	12	0	612.43
Tswana	Setswana	tn	637	2,658	22,800	1	5,624	8	0	86.34
Norfolk	Norfuk / Pitkern	pih	627	2,569	42,469	0	6,700	3	0	——
Kirundi	Kirundi	rn	612	1,958	20,412	0	5,065	4	0	——
Cheyenne	Tsetsêhestâhese	chy	608	2,124	21,896	0	7,229	5	0	64.09
Twi	Twi	tw	601	1,878	18,528	0	7,327	8	0	44.54
Tumbuka	chiTumbuka	tum	560	1,872	24,507	0	4,122	5	0	71.86
Tsonga	Xitsonga	ts	553	2,574	32,564	1	5,357	6	0	——
Sesotho	Sesotho	st	535	3,023	20,198	0	5,996	7	0	——
Gothic	𐌲𐌿𐍄𐌹𐍃𐌺	got	533	3,967	37,730	1	11,888	8	0	——
Pontic	Ποντιακά	pnt	455	1,931	36,409	0	6,398	7	0	——
Swati	SiSwati	ss	439	2,078	38,319	2	5,004	4	0	——
Chamorro	Chamoru	ch	436	3,193	18,998	0	9,882	7	0	——
Bambara	bamanankan	bm	431	3,117	37,246	0	7,050	8	0	——
Fijian	Na Vosa Vakaviti	fj	426	1,965	35,431	0	5,290	5	0	——
Adyghe	адыгабзэ	ady	405	1,226	7,388	1	2,397	11	0	——
Inuktitut	ᐃᓄᒃᑎᑐᑦ/inuktitut	iu	398	3,854	38,612	1	11,303	6	0	——
Atikamekw	Atikamekw	atj	383	997	8,519	4	997	31	0	——
Chichewa	Chi-Chewa	ny	382	1,811	18,443	1	4,821	5	0	——
Ewe	eʋegbe	ee	339	3,516	48,756	1	8,983	7	0	——
Akan	Akan	ak	322	2,099	21,457	0	7,056	9	0	——
Kashmiri	कॉशुर / کٲشُر	ks	316	2,597	31,868	0	5,912	10	0	——
Inupiak	Iñupiak	ik	261	2,263	35,289	0	5,217	8	0	——
Venda	Tshivenda	ve	256	1,616	17,748	0	4,183	3	0	——
Sango	Sängö	sg	254	1,598	20,960	0	4,122	6	0	——
Fula	Fulfulde	ff	227	1,740	22,208	0	5,141	6	0	——
Dzongkha	ཇོང་ཁ	dz	223	1,778	28,529	0	6,061	11	0	——
Tigrinya	ትግርኛ	ti	176	1,600	20,980	0	5,336	4	0	——
Cree	Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ	cr	128	3,021	30,007	1	9,627	8	0	——
Dinka	Thuɔŋjäŋ	din	51	341	1,963	0	765	11	0	——
Ndonga	Oshiwambo	ng	8	439	6,043	0	1,746	0	0	——
Choctaw	Choctaw	cho	6	200	4,187	0	1,410	0	0	——
Kuanyama	Kwanyama	kj	4	113	3,510	0	1,139	0	0	——
Marshallese	Ebon	mh	4	205	4,215	0	1,741	0	0	——
Hiri Motu	Hiri Motu	ho	3	128	3,735	0	1,277	0	0	——
Nuosu	ꆇꉙ	ii	3	189	11,627	0	1,545	0	0	——
Afar	Qafár af	aa	1	1,512	2,725	0	3,241	0	0	——
Muscogee	Mvskoke	mus	1	114	3,568	0	1,628	0	0	——
Herero	Otsiherero	hz	0	175	4,431	0	3,079	0	0	——
Kanuri	Kanuri	kr	0	162	4,563	0	4,403	0	0	——
